"is_test_data","Z1","Z2","Z3"
1,1.09524356763483e-07,0.787281208574009,4.13956888064613e-22
1,3.24382445323085e-12,0.975080615723242,3.23800320814842e-15
1,9.72585420720469e-09,1.86770718701688e-06,2.39420629150356e-11
1,0.999999999999999,8.66612874615779e-07,1
1,0.0266276988570072,4.86643668865161e-07,2.78079338106291e-16
1,1.64091585731851e-15,0.999997184238475,0.999997361012488
0,1.70001391623304e-13,0.986324760923341,5.60115860879362e-14
1,2.04116854638638e-19,0.0346256641650566,3.91312765724165e-17
1,5.73226026821925e-17,0.0121256164695761,7.89784877967377e-18
1,4.6629355650433e-16,0.00717183080718652,4.64214472516184e-20
1,7.20904098670877e-17,0.999938942942367,6.70765101228023e-21
1,5.87450679411286e-11,0.845875092885339,3.48382445306508e-16
0,1.74161180937549e-15,0.999541362208331,1.33150337217021e-18
1,1.25368570203058e-15,0.999086448537564,1.39456432788263e-16
1,2.45421434531257e-12,0.000690453833666593,3.84098448853665e-17
1,6.41120018811096e-08,3.4859917499484e-08,0.0010186945822494
1,6.91821627366657e-11,0.83398389577868,2.12445328452991e-16
1,4.9927010244298e-14,0.993309985453825,2.87859341530877e-15
1,1.76142581121203e-14,0.999598443487164,5.41092730846212e-20
0,1.73098397447907e-13,0.988202329009702,2.16932620551266e-15
0,1.60363826015979e-15,0.00171417748156044,1.36682095750192e-17
1,4.41193419439241e-13,0.997742007230222,4.02533186168544e-19
1,5.24362907208264e-08,3.59967183618623e-07,2.95693832014782e-07
0,0.999981225636413,0.999999959319659,0.972064311240617
1,2.24574047491646e-11,1.34721519341173e-05,9.7425154639635e-12
1,3.84507552089138e-14,0.489464570217079,1.13209607175289e-17
1,6.07660685553257e-13,0.602193193392933,5.0927178899648e-18
0,1.49024941841088e-16,0.00109264428328884,6.3093911311666e-15
0,0.999999999999955,0.996577633826947,7.02610374128028e-19
1,2.06534928692755e-15,0.000721385535986544,1
1,2.28378958292243e-16,0.999898708693623,1.13840838312048e-20
1,3.92159878270374e-17,0.0350167078400723,9.65905556160815e-20
1,5.56499365099208e-14,0.538000686111349,3.24921705995511e-18
0,5.90929370302611e-12,0.540294970538156,6.93860861969445e-22
1,0.999999999495007,0.999486833901566,1.25495191992089e-16
1,9.55341582555251e-16,0.00583043511704942,1.96856998723902e-17
0,2.64654100379234e-11,0.862821354372941,1.07554512558986e-15
1,3.77793169666145e-12,0.00109920550864866,1.85315363946328e-19
0,1,2.30923847300629e-12,1
0,1.252920137022e-14,0.427762588549661,1.25615575907241e-18
1,3.88842380414752e-11,0.978999301259365,3.25648780306621e-16
0,0.998466573397228,0.999999957733108,9.08637808712654e-27
1,1.86192358580419e-16,0.0813169292381175,1.47202739944068e-20
1,1.83167231622765e-16,0.0079326649051886,7.54358019260922e-18
1,4.40704586742894e-08,0.620917656148249,4.04106349064752e-23
1,7.34966592432375e-17,0.0102189866619687,8.83188164336524e-17
0,1.40237610748786e-14,0.998888595956111,3.47817882394959e-18
1,5.95757857034333e-11,0.000185920210684101,5.74175257849881e-18
0,3.28405597809009e-07,0.710993661201117,3.09992739201947e-23
0,3.58226930248297e-13,0.62748654900252,5.3433380129824e-18
1,7.50648856509492e-11,0.771305990464824,8.075126432225e-18
1,1.05117922687004e-13,0.999622804043203,1.97150725869493e-21
1,3.96879980663559e-17,0.999911758359122,1.48024971099687e-19
0,0.999999992828325,3.93324901701083e-06,1
0,8.98220368663854e-16,0.999821940364361,5.62900143465211e-20
1,2.2412114417714e-12,0.665230315364753,4.95226795584596e-18
1,1.40898310918863e-09,0.013868917467025,6.27564249665849e-28
1,1.46849278046625e-15,0.999631077962479,1.45576617394974e-19
1,2.76974595926332e-13,0.972710565796881,4.89177044423041e-13
1,1.51097245822413e-13,0.720851424675132,8.11474490387344e-15
0,7.27834125261302e-14,0.998551896342952,8.03500120328727e-18
1,2.68551191394994e-08,0.978819745144847,0.99999999999989
1,4.06606330463909e-13,0.012477720491839,2.59595433491934e-23
1,1.67713231224948e-12,0.786201236916309,1.57226538842305e-15
1,4.22985657424914e-10,0.872722383527076,5.19304287268369e-18
1,1.19802405022783e-15,0.999618175261806,6.30446374726591e-19
1,2.91708026702391e-12,0.993899192159004,6.80535409326398e-18
1,8.10792569657862e-15,0.99958249479348,1.66560704545998e-19
0,1.10678103063833e-18,0.144497333527036,1.21657298025071e-17
1,9.54013876367138e-17,0.101586618013536,2.14450730574672e-20
1,1.8361050288672e-14,0.350093825673856,1.1643891494452e-20
1,7.82172140921561e-06,7.65313749517526e-07,1.27244932941226e-12
1,1.61635858603397e-16,0.999733910527148,1.06746155564401e-17
0,1,0.999775289061968,5.3764791888426e-27
1,5.67431937757301e-08,0.0102901664576647,1.51884507684886e-30
1,8.09832855794052e-15,0.494862976838804,4.83928289092734e-17
1,5.87995293636013e-11,0.651253963573859,1.61341543967883e-19
1,4.6512475579073e-06,5.0380108790448e-07,2.06105727865162e-10
1,0.999999999998383,0.00629243083504655,6.86845128415436e-21
0,0.999999910747008,0.99892328207398,1.80136979467568e-11
0,3.17868339533684e-12,1.95335199103758e-05,2.07008268978765e-12
1,9.36229692600336e-10,1.76551010205993e-07,6.01978652150699e-05
