"is_test_data","Z1","Z2","Z3"
1,1,0.999195065032325,3.47681334067686e-10
1,8.43068668803364e-16,0.000251842744657689,1.84217443435214e-48
1,0.999999759781387,1,1.15798111456324e-26
1,1.00027377995949e-08,1,0.999999999998911
0,0.999999965610694,1,3.87278744273553e-27
1,0.999999998237343,1,4.36589560223105e-32
1,4.7684102744234e-15,9.84343286402308e-09,2.45617023123317e-37
1,1.27288534536972e-10,1,0.999999957427027
1,4.53249044437619e-07,1,1
1,2.97937932567541e-05,2.62480336539122e-22,1
1,3.03109217990542e-13,3.36916108903261e-11,6.4823176373585e-35
1,6.41521605542072e-12,3.89075323667944e-09,4.74332824549025e-44
1,0.999999972481623,1,3.37587720319183e-30
1,0.999998557753321,1,1.47623103443025e-35
0,0.999999961942065,1,4.32524207062599e-28
1,6.38798926167639e-18,0.00460110287832417,1.67951902967856e-46
1,0.999999999999984,2.0852512725054e-31,1
0,5.50395645192911e-07,1.24750478328233e-18,9.34472565022836e-29
1,5.15809918934977e-16,5.17990577576956e-05,2.55988163237231e-46
1,6.63304847137131e-06,1.22989540678138e-20,2.06484700450153e-25
1,2.89722755445512e-05,1.41489609026265e-17,4.06792498850745e-36
1,4.27835402132288e-14,3.00601953475791e-06,5.81523965284888e-47
0,0.999995501309578,1,8.63961248876684e-35
0,0.999995947347369,1,4.01508544101819e-34
1,1.64838295803106e-06,1,0.961895232851895
0,1,8.39193251716035e-34,8.38310794089447e-21
1,0.999998998344506,1,4.39267214843868e-35
1,3.18359120916517e-13,1.97852396455681e-07,5.50772961121424e-46
1,2.36650378646802e-12,1,0.99999961191421
1,3.23043210885635e-15,7.4290646060434e-06,1.87389968033967e-45
0,2.32145865589253e-06,0.999999999997899,1
1,5.14412768421992e-13,3.25129132900811e-14,8.56200001588896e-27
1,1.67373084038755e-14,1,0.999993882558506
0,0.999999999807694,0.999999999999966,1.80649833793584e-24
1,1.48604253935221e-05,1.47809747894311e-16,4.15304718158062e-38
1,0.999999999599591,0.999999999999996,5.87626892059816e-26
0,3.7405068050564e-09,1,1
1,7.185948754522e-11,9.78738452550432e-24,1
1,0.991318619526787,6.13172735020053e-08,2.34955288699399e-39
1,0.999999731626025,0.577615906108899,1.10852181173041e-17
0,0.999999943332727,1,6.3013774277908e-28
1,6.9013504319602e-14,5.34439045795417e-11,1.83618088932571e-33
0,1.02976090749764e-10,6.84143721812972e-15,6.28074363875581e-31
0,2.4878421535867e-10,1.78595378227194e-14,6.0300846432687e-33
0,0.99999983819017,1,4.08549160522604e-35
1,0.999999999935478,0.999999999999896,2.65972165467595e-24
1,0.999999648576047,1,9.85551077582834e-33
1,0.999999765675646,1,2.26500442140618e-31
0,1.83401690776684e-05,1.23214859685864e-20,7.74191531098716e-27
0,1.99181404939216e-09,1,1
1,5.73726939344244e-13,1.5668516530936e-09,2.61179447976537e-40
1,1.33498014715927e-16,8.11975691695145e-05,4.94600114248483e-45
1,2.32005093336798e-15,7.42094382747368e-05,5.24804498781408e-48
0,0.999999989911935,1,6.6772223465857e-28
1,0.99999999999939,0.999999988371683,3.83994539803896e-14
1,0.999999999453646,1,3.31183417503182e-30
1,0.999999999985308,0.757443645019583,2.18673400801003e-11
1,0.99999999999116,2.39679824333048e-25,2.65481394327985e-10
0,3.13603853994012e-11,1,1
1,3.1871977279667e-15,1,0.982191317799449
1,4.89332516513565e-12,1,0.95396168414089
0,9.91155435296035e-13,1.53555611688174e-13,4.91931751765641e-30
1,0.999993065553114,1.59941017724743e-13,7.01325835434301e-31
1,0.036708726828681,0.999924231886917,1
1,0.999998194969506,1,4.04858860810855e-35
1,6.60609028943739e-13,4.36495154863332e-12,3.38015129923526e-33
1,2.40739574776695e-11,1.01438878394753e-11,7.21435015746316e-38
1,0.999999999999994,0.999999993403125,1.62073940401817e-20
1,0.421778092135183,4.21623498314682e-20,6.1421541202677e-23
1,5.63138061103338e-13,1,0.999999996328389
1,4.1027662257735e-13,1,0.964064154952159
1,1.73277310965109e-08,1.74052050601866e-17,1.31744818524106e-28
1,0.552805535648109,2.35355751993317e-25,1
0,0.999999999525129,0.999999999999916,2.33824043599505e-22
1,0.999999999407803,0.999999999999999,9.08565939138721e-27
0,0.00038016513952597,1.03946583456276e-22,3.23344722303663e-25
1,2.4482980099509e-11,1,0.999994468799417
0,3.70685092951648e-14,2.6256934677803e-11,3.13945683760094e-33
1,1,0.999998114627504,2.67246117753063e-21
0,3.9477688293404e-12,2.28568502488825e-13,1.08432927658874e-30
1,0.999999974094431,1,6.73665055839482e-31
1,9.09599224881975e-05,2.56978573963937e-21,9.60110534638356e-26
1,1,0.999996657134907,8.75565639376587e-21
1,3.80976016747051e-12,4.91552616450259e-11,2.03093068968644e-38
1,4.71087047726937e-11,1.02042577016455e-11,7.16324138655913e-39
0,0.99999999995949,1,2.29458091233877e-31
1,1.12943628979039e-14,0.165643554671968,3.43197427510419e-44
1,2.83457701240191e-16,1.97594468052583e-17,1
1,6.28873925524109e-17,0.00663378116964482,2.66920058250019e-49
1,4.83155282189938e-09,1,0.826521428335277
0,0.00405345238097259,2.0861921564446e-21,9.42477827344036e-31
1,0.999999781588261,1,4.39107505439853e-33
0,0.999999723418775,1,3.23082586158403e-27
1,1.98509864646822e-16,5.95620545308499e-07,1.12305732439456e-39
1,1.3198090886311e-14,2.39615295263289e-06,9.07251167775556e-46
1,0.573005305052641,4.02323588564965e-20,9.74060026262452e-17
0,1.14354194986305e-08,1.45370710223366e-16,8.92017798869991e-32
1,0.999999999947564,0.999999999999885,6.25754339150883e-24
1,5.37057645708288e-11,1.82665334575456e-11,4.12177113053753e-40
1,0.999997594877898,1,1.71454941588618e-33
1,0.99999999327953,1,1.21067015799824e-29
1,0.999999811988237,1,1.72051432693041e-32
0,1.629765468122e-12,1.01291009721941e-11,4.37398543531358e-35
0,8.83279023488729e-12,1.94202795223948e-12,5.96513201621767e-35
1,1.33336670419448e-10,1.07110305404179e-12,9.09224222596957e-37
1,0.000962648135692486,9.92687657261245e-25,2.30601485250152e-18
1,0.99999497959398,1,6.34582042334156e-33
1,0.999999995685265,4.9055893649293e-15,8.29137356376077e-35
1,0.998728158453937,0.000727808006634882,9.89834499891302e-53
1,4.26116518049836e-13,1,0.991383634276518
1,0.999999999999984,0.999999999386087,5.69173509567511e-22
1,0.000426729179254274,1.36344283260267e-25,7.74705058263674e-15
1,0.999999999998642,2.32813587675823e-23,1.34385125588078e-18
1,3.63156002416478e-05,6.6197988577565e-26,1.01203170457806e-12
0,5.37638789379681e-13,1,1
1,4.73374941324325e-08,2.46534516755212e-21,5.581322712703e-18
1,2.52052185472121e-09,1,0.99999999996188
1,1.33143477540857e-07,1,1
1,5.30477666647206e-15,1.74306774434179e-06,2.23764248168408e-44
1,1.80872070853869e-20,1.22580925480087e-07,1
0,0.999999999984709,1.95603757006553e-19,1.09457108785815e-26
1,0.99999998766019,1,1.291332830818e-30
0,4.89422658026574e-06,0.999999999999999,1
1,2.4247110836329e-10,1.06566725937661e-11,4.53785344256413e-41
1,6.96534699749768e-12,1,0.999999998922493
1,9.90544221430279e-16,1.66549130652369e-05,6.58238775233553e-45
1,0.850503376722449,1,1
1,0.999999962879047,1,3.75129322733191e-29
1,2.71749663901785e-07,3.58439402890863e-18,3.54823948516546e-29
1,0.999999988473121,1,1.16428316638042e-33
1,2.20071566814354e-13,2.67773138122384e-12,4.50874621315621e-31
0,0.999994990120084,1,5.67033202355142e-37
1,0.999999999996149,0.99999999999947,1.37901696711553e-24
1,0.999994069345848,1,1.54328473969746e-36
1,0.99999992172293,1,7.73457828209371e-29
0,1,0.999301776637073,3.83437978095712e-08
1,5.18997581159557e-11,1,1
0,6.53048129846019e-13,1,1
1,1.91735987391879e-15,9.79843761207979e-05,5.08596314609304e-48
1,9.30291978482815e-14,5.05349743148865e-10,2.98212265373524e-37
1,6.42688664255174e-08,1,0.999999999971663
1,0.999999999998807,0.999999999981079,7.36863730080881e-22
1,0.999997926547542,1,4.70229840378153e-35
1,0.999981937463479,1,4.8566673995311e-38
1,2.57521566731364e-10,1,1
1,0.999999998496647,1,3.25144827163348e-30
1,0.99999807608386,1,1.04698873159115e-33
1,6.97689728597658e-16,7.8860002536858e-05,2.01169520649964e-46
0,0.000600075555183931,0.999999999999976,1
1,0.00407652345836481,0.999972262665459,1
0,1.40186018200066e-15,1,1
1,2.35363514444482e-14,1,0.99904775291189
1,3.73076825069828e-07,5.37009664118867e-22,2.57238396261401e-18
1,0.999999722846992,1,6.32525382799909e-33
1,5.33156599962818e-05,1,0.999999999902173
1,1.92988861455219e-08,1,0.886628251538896
1,0.999999999876698,0.999999999999996,4.37158570235271e-27
1,0.000375751067764588,1.68456275355246e-23,8.58619189102894e-22
1,8.61959741313289e-13,2.68535505733176e-08,1.47359455270141e-44
1,0.999997886452806,1,3.45876988045822e-26
1,0.000337757022587206,2.01480919804933e-26,5.60509240996741e-14
1,0.99994739248813,1.0451452155153e-06,7.0564548052504e-48
1,0.999999991477461,1,7.44053809857001e-29
1,0.999999888702308,1,6.07853796115359e-30
1,0.999999650692658,1,2.3875250276969e-33
0,0.999999999999783,0.99999999999846,1.00396884249214e-26
1,1.30502374245334e-10,3.91576503762835e-12,2.09813217783144e-38
1,0.999999764123776,8.11888007623239e-24,4.27209376638266e-06
0,0.9999999989418,0.999999999999999,2.37351908550565e-27
1,0.999999988627244,1,1.44544689271507e-27
1,1.2590779834563e-07,1,0.999999999995717
1,1.23771154308269e-08,1.25772880602729e-19,5.71292493881597e-22
1,0.999999541465292,1,3.31279448145425e-34
0,0.999999999992511,0.999999999998147,1.80411906264722e-22
1,0.999992694122146,1,2.0261562821682e-35
1,1.74288606795929e-12,5.40074581432788e-09,4.09872250434805e-43
1,0.999999872537773,1,1.98343927855709e-33
1,1.6188847117295e-12,1.00615407406455e-09,5.83851904638102e-41
1,0.999999999999466,6.255868636382e-24,5.39233801057427e-19
1,0.0002526501776944,1.95408380774234e-26,9.58061486199416e-13
1,1.17586239083929e-06,1,0.999999859687673
1,9.80161840263258e-07,1.40219223608556e-24,3.28631574999453e-12
